This is the complete list of games supported by PinMAME 2.3 [MAME 0.76] (Dec 24 2010).
Variants of the same game are not included, you can use the -listclones command
to get a list of the alternate versions of a given game.

This list is generated automatically and is not 100% accurate (particularly in
the Screen Flip column). Please let us know of any errors so we can correct
them.

Here are the meanings of the columns:

Working
=======
  NO: Emulation is still in progress; the game does not work correctly. This
  means anything from major problems to a black screen.

Correct Colors
==============
    YES: Colors should be identical to the original.
  CLOSE: Colors are nearly correct.
     NO: Colors are completely wrong. 
  
  Note: In some cases, the color PROMs for some games are not yet available.
  This causes a NO GOOD DUMP KNOWN message on startup (and, of course, the game
  has wrong colors). The game will still say YES in this column, however,
  because the code to handle the color PROMs has been added to the driver. When
  the PROMs are available, the colors will be correct.

Sound
=====
  PARTIAL: Sound support is incomplete or not entirely accurate. 

  Note: Some original games contain analog sound circuitry, which is difficult
  to emulate. Therefore, these emulated sounds may be significantly different.

Screen Flip
===========
  Many games were offered in cocktail-table models, allowing two players to sit
  across from each other; the game's image flips 180 degrees for each player's
  turn. Some games also have a "Flip Screen" DIP switch setting to turn the
  picture (particularly useful with vertical games).
  In many cases, this feature has not yet been emulated.

Internal Name
=============
  This is the unique name that must be used when running the game from a
  command line.

  Note: Each game's ROM set must be placed in the ROM path, either in a .zip
  file or in a subdirectory with the game's Internal Name. The former is
  suggested, because the files will be identified by their CRC instead of
  requiring specific names.

+----------------------------------+-------+-------+-------+-------+----------+
|                                  |       |Correct|       |Screen | Internal |
| Lortium                          |  Yes  |  Yes  |  Yes  |  Yes  | lortium  |
| Lost World                       |  Yes  |  Yes  | Yes(2)|  Yes  | lostwrld |
| Lost World: Jurassic Park, The   |  Yes  |  Yes  |  Yes  |  Yes  | jplstw22 |
| Lost in Space                    |  Yes  |  Yes  |  Yes  |  Yes  | lostspc  |
| Lucky Seven                      |  Yes  |  Yes  |  Yes  |  Yes  | lucky_l1 |
| Lunelle                          |  Yes  |  Yes  | Yes(2)|  Yes  | lunelle  |
| Mac Attack                       |  Yes  |  Yes  |Partial|  Yes  | macattck |
| Mach 2                           |  Yes  |  Yes  |  Yes  |  Yes  | mach2    |
| Machine: Bride of Pinbot, The    |  Yes  |  Yes  | Yes(2)|  Yes  | bop_l7   |
| Mad Race                         |  Yes  |  Yes  |Partial|  Yes  | madrace  |
| Magic                            |  Yes  |  Yes  | Yes(2)|  Yes  | magic    |
| Magic Castle                     |  Yes  |  Yes  |  Yes  |  Yes  | mcastle  |
| Mario Andretti                   |  Yes  |  Yes  | Yes(2)|  Yes  | andretti |
| Mars - God of War                |  Yes  |  Yes  | Yes(2)|  Yes  | mars     |
| Mary Shelley's Frankenstein      |  Yes  |  Yes  |  Yes  |  Yes  | frankst  |
| Mata Hari                        |  Yes  |  Yes  |  Yes  |  Yes  | matahari |
| Maverick                         |  Yes  |  Yes  |  Yes  |  Yes  | mav_402  |
| Medieval Madness                 |  Yes  |  Yes  | Yes(2)|  Yes  | mm_10    |
| Medusa                           |  Yes  |  Yes  |  Yes  |  Yes  | medusa   |
| Meg-Aaton                        |  Yes  |  Yes  |Partial|  Yes  | megaaton |
| Memory Lane                      |  Yes  |  Yes  |  Yes  |  Yes  | memlane  |
| Mephisto                         |   No  |  Yes  |  Yes  |  Yes  | mephisto |
| Meteor                           |  Yes  |  Yes  | Yes(2)|  Yes  | meteor   |
| Meteor                           |  Yes  |  Yes  | Yes(2)|  Yes  | meteort  |
| Mexico '86                       |  Yes  |  Yes  |Partial|  Yes  | mexico   |
| Middle Earth                     |  Yes  |  Yes  |  Yes  |  Yes  | midearth |
| Midnight Marauders               |   No  |  Yes  |  Yes  |  Yes  | mdntmrdr |
| Mike Bossy                       |  Yes  |  Yes  | Yes(2)|  Yes  | mbossy   |
| Millionaire                      |  Yes  |  Yes  | Yes(2)|  Yes  | milln_l3 |
| Monday Night Football            |  Yes  |  Yes  |  Yes  |  Yes  | mnfb_c27 |
| Monopoly                         |  Yes  |  Yes  |  Yes  |  Yes  | monopred |
| Monopoly                         |  Yes  |  Yes  |  Yes  |  Yes  | monopoly |
| Monster Bash                     |  Yes  |  Yes  | Yes(2)|  Yes  | mb_10    |
| Monte Carlo                      |  Yes  |  Yes  | Yes(2)|  Yes  | mntecrlo |
| Motor Show                       |  Yes  |  Yes  |Partial|  Yes  | motrshow |
| MotorDome                        |  Yes  |  Yes  |  Yes  |  Yes  | motrdome |
| Mousin' Around                   |  Yes  |  Yes  | Yes(2)|  Yes  | mousn_l4 |
| Movie Masters                    |  Yes  |  Yes  |  Yes  |  Yes  | movmastr |
| Mr. & Mrs. Pec-Men               |  Yes  |  Yes  |  Yes  |  Yes  | pecmen   |
| Mr. Black                        |  Yes  |  Yes  |Part(2)|  Yes  | mrblack  |
| Mr. and Mrs. PacMan              |  Yes  |  Yes  |  Yes  |  Yes  | m_mpac   |
| Mystery Castle                   |  Yes  |  Yes  |  Yes  |  Yes  | mystcast |
| Mystic                           |  Yes  |  Yes  |  Yes  |  Yes  | mystic   |
| Mystic Star                      |  Yes  |  Yes  | Yes(2)|  Yes  | myststar |
| NBA Fastbreak                    |  Yes  |  Yes  | Yes(2)|  Yes  | nbaf_31  |
| NFL                              |  Yes  |  Yes  |  Yes  |  Yes  | nfl      |
| Nascar                           |  Yes  |  Yes  |Partial|  Yes  | nascar   |
| New Star's Phoenix               |  Yes  |  Yes  |  Yes  |  Yes  | nstrphnx |
| Night Moves                      |  Yes  |  Yes  | Yes(2)|  Yes  | nmoves   |
| Night Rider                      |  Yes  |  Yes  |  Yes  |  Yes  | nightrdr |
| Nine Ball                        |  Yes  |  Yes  | Yes(2)|  Yes  | nineball |
| Nitro Groundshaker               |  Yes  |  Yes  |  Yes  |  Yes  | ngndshkr |
| No Fear: Dangerous Sports        |  Yes  |  Yes  | Yes(2)|  Yes  | nf_23x   |
| No Good Gofers                   |  Yes  |  Yes  | Yes(2)|  Yes  | ngg_13   |
| Nudge It                         |  Yes  |  Yes  | Yes(2)|  Yes  | nudgeit  |
| Nugent                           |  Yes  |  Yes  | Yes(2)|  Yes  | nugent   |
| Oba-Oba                          |  Yes  |  Yes  | Yes(2)|  Yes  | obaoba   |
| Odin De Luxe                     |  Yes  |  Yes  |  Yes  |  Yes  | odin_dlx |
| Odisea Paris-Dakar               |  Yes  |  Yes  |  Yes  |  Yes  | odisea   |
| Olympus                          |  Yes  |  Yes  |  Yes  |  Yes  | olympus  |
| Omni                             |  Yes  |  Yes  | Yes(2)|  Yes  | omni_l1  |
| Operation Thunder                |  Yes  |  Yes  | Yes(2)|  Yes  | opthund  |
| Orbit 1                          |  Yes  |  Yes  |  Yes  |  Yes  | orbit1   |
| Orbitor 1                        |  Yes  |  Yes  | Yes(2)|  Yes  | orbitor1 |
| Panthera                         |  Yes  |  Yes  | Yes(2)|  Yes  | panthera |
| Paragon                          |  Yes  |  Yes  | Yes(2)|  Yes  | paragon  |
| Party                            |  Yes  |  Yes  |  Yes  |  Yes  | party    |
| Party Animal                     |  Yes  |  Yes  |  Yes  |  Yes  | prtyanim |
| Party Zone                       |  Yes  |  Yes  | Yes(2)|  Yes  | pz_f4    |
| Pennant Fever Baseball           |  Yes  |  Yes  | Yes(2)|  Yes  | pfevr_l2 |
| Pentacup                         |   No  |  Yes  |  Yes  |  Yes  | pentacp2 |
| Pentacup                         |  Yes  |  Yes  |  Yes  |  Yes  | pentacup |
| Petaco                           |  Yes  |  Yes  |  Yes  |  Yes  | petaco   |
| Petaco 2                         |  Yes  |  Yes  |  Yes  |  Yes  | petaco2  |
| Phantom of the Opera, The        |  Yes  |  Yes  |  Yes  |  Yes  | poto_a32 |
| Pharaoh                          |  Yes  |  Yes  | Yes(2)|  Yes  | pharo_l2 |
| Phoenix                          |  Yes  |  Yes  | Yes(2)|  Yes  | phnix_l1 |
| Pin-Ball                         |  Yes  |  Yes  |  Yes  |  Yes  | sleicpin |
| Pinball                          |  Yes  |  Yes  |  Yes  |  Yes  | pinball  |
| Pinball Champ                    |  Yes  |  Yes  |  Yes  |  Yes  | pinchamp |
| Pinball Magic                    |  Yes  |  Yes  |  Yes  |  Yes  | pmv112   |
| Pinball Pool                     |  Yes  |  Yes  | Yes(2)|  Yes  | pinpool  |
| Pinbot                           |  Yes  |  Yes  | Yes(2)|  Yes  | pb_l5    |
| Pink Panther                     |  Yes  |  Yes  | Yes(2)|  Yes  | pnkpnthr |
| Pistol Poker                     |  Yes  |  Yes  |  Yes  |  Yes  | pstlpkr  |
| Playboy                          |  Yes  |  Yes  | Yes(2)|  Yes  | playboy  |
| Playboy                          |  Yes  |  Yes  |  Yes  |  Yes  | playboys |
| Playboy 35th Anniversary         |  Yes  |  Yes  |  Yes  |  Yes  | play_a24 |
| Pokerino                         |  Yes  |  Yes  | Yes(2)|  Yes  | pkrno_l1 |
| Polar Explorer                   |  Yes  |  Yes  | Yes(2)|  Yes  | polar    |
| Pole Position                    |  Yes  |  Yes  |  Yes  |  Yes  | poleposn |
| Police Force                     |  Yes  |  Yes  | Yes(2)|  Yes  | polic_l4 |
| Pool Champion                    |  Yes  |  Yes  |Partial|  Yes  | poolcham |
| Pool Sharks                      |  Yes  |  Yes  | Yes(2)|  Yes  | pool_l7  |
| Popeye Saves The Earth           |  Yes  |  Yes  | Yes(2)|  Yes  | pop_lx5  |
| Power Play                       |  Yes  |  Yes  |  Yes  |  Yes  | pwerplay |
| Punchy The Clown                 |  Yes  |  Yes  |  Yes  |  Yes  | punchy   |
| Punk!                            |  Yes  |  Yes  | Yes(2)|  Yes  | punk     |
| Q*Bert's Quest                   |  Yes  |  Yes  | Yes(2)|  Yes  | qbquest  |
| Quicksilver                      |  Yes  |  Yes  | Yes(2)|  Yes  | quicksil |
| Rack 'Em Up                      |  Yes  |  Yes  | Yes(2)|  Yes  | rackemup |
| Radical                          |  Yes  |  Yes  | Yes(2)|  Yes  | radcl_l1 |
| Rally                            |  Yes  |  Yes  | Yes(2)|  Yes  | rally    |
| Rapid Fire                       |  Yes  |  Yes  |  Yes  |  Yes  | rapidfir |
| Rat Race                         |  Yes  |  Yes  | Yes(2)|  Yes  | ratrc_l1 |
| Raven                            |  Yes  |  Yes  | Yes(2)|  Yes  | raven    |
| Ready...Aim...Fire!              |  Yes  |  Yes  | Yes(2)|  Yes  | raimfire |
| Real                             |  Yes  |  Yes  |  Yes  |  Yes  | real     |
| Red and Ted's Road Show          |  Yes  |  Yes  | Yes(2)|  Yes  | rs_l6    |
| Rescue 911                       |  Yes  |  Yes  | Yes(2)|  Yes  | rescu911 |
| Rio                              |  Yes  |  Yes  |  Yes  |  Yes  | rio      |
| Ripley's Believe It or Not!      |  Yes  |  Yes  |  Yes  |  Yes  | ripleys  |
| Riverboat Gambler                |  Yes  |  Yes  | Yes(2)|  Yes  | rvrbt_l3 |
| Road Kings                       |  Yes  |  Yes  | Yes(2)|  Yes  | rdkng_l4 |
| Road Runner                      |  Yes  |  Yes  |  Yes  |  Yes  | roadrunr |
| Robo-War                         |  Yes  |  Yes  | Yes(2)|  Yes  | robowars |
| Robocop                          |  Yes  |  Yes  |  Yes  |  Yes  | robo_a34 |
| Robot                            |  Yes  |  Yes  |  Yes  |  Yes  | robot    |
| Rock                             |  Yes  |  Yes  | Yes(2)|  Yes  | rock     |
| Rock 2500                        |  Yes  |  Yes  |Partial|  Yes  | rock2500 |
| Rocky                            |  Yes  |  Yes  | Yes(2)|  Yes  | rocky    |
| Rocky & Bullwinkle               |  Yes  |  Yes  |  Yes  |  Yes  | rab_320  |
| Roller Coaster Tycoon            |  Yes  |  Yes  |  Yes  |  Yes  | rctycn   |
| Roller Disco                     |  Yes  |  Yes  | Yes(2)|  Yes  | roldisco |
| Rollergames                      |  Yes  |  Yes  | Yes(2)|  Yes  | rollr_l2 |
| Rolling Stones                   |  Yes  |  Yes  |  Yes  |  Yes  | rollston |
| Rotation VIII                    |  Yes  |  Yes  |   No  |  Yes  | rotation |
| Roy Clark - The Entertainer      |  Yes  |  Yes  |  Yes  |  Yes  | royclark |
| Royal Flush Deluxe               |  Yes  |  Yes  | Yes(2)|  Yes  | rflshdlx |
| Safe Cracker                     |  Yes  |  Yes  | Yes(2)|  Yes  | sc_18    |
| Scared Stiff                     |  Yes  |  Yes  | Yes(2)|  Yes  | ss_15    |
| Scorpion                         |  Yes  |  Yes  | Yes(2)|  Yes  | scrpn_l1 |
| Scramble                         |  Yes  |  Yes  |  Yes  |  Yes  | scram_tp |
| Seawitch                         |  Yes  |  Yes  | Yes(2)|  Yes  | seawitch |
| Secret Service                   |  Yes  |  Yes  |  Yes  |  Yes  | ssvc_a26 |
| Shadow, The                      |  Yes  |  Yes  | Yes(2)|  Yes  | ts_lx5   |
| Shaq Attaq                       |  Yes  |  Yes  | Yes(2)|  Yes  | shaqattq |
| Shark                            |  Yes  |  Yes  |  Yes  |  Yes  | shark    |
| Shark                            |  Yes  |  Yes  | Yes(2)|  Yes  | sharkt   |
| Sharkey's Shootout               |  Yes  |  Yes  |  Yes  |  Yes  | shrkysht |
| Sharp Shooter II                 |  Yes  |  Yes  | Yes(2)|  Yes  | sshootr2 |
| Sharpshooter                     |  Yes  |  Yes  | Yes(2)|  Yes  | sshooter |
| Shock                            |  Yes  |  Yes  | Yes(2)|  Yes  | shock    |
| Shooting the Rapids              |  Yes  |  Yes  |Partial|  Yes  | strapids |
| Shuffle Inn                      |  Yes  |  Yes  | Yes(2)|  Yes  | shfin_l1 |
| Silver Slugger                   |  Yes  |  Yes  | Yes(2)|  Yes  | silvslug |
| Silverball Mania                 |  Yes  |  Yes  |  Yes  |  Yes  | slbmania |
| Simpsons Pinball Party, The      |  Yes  |  Yes  |  Yes  |  Yes  | simpprty |
| Simpsons, The                    |  Yes  |  Yes  |  Yes  |  Yes  | simp_a27 |
| Sinbad                           |  Yes  |  Yes  | Yes(2)|  Yes  | sinbad   |
| Six Million Dollar Man           |  Yes  |  Yes  | Yes(2)|  Yes  | smman    |
| Skateball                        |  Yes  |  Yes  |  Yes  |  Yes  | skatebll |
| Ski Jump                         |  Yes  |  Yes  |Partial|  Yes  | skijump  |
| Skill Flight                     |  Yes  |  Yes  |Partial|  Yes  | skflight |
| Slugfest                         |  Yes  |  Yes  | Yes(2)|  Yes  | sf_l1    |
| Snake Machine                    |  Yes  |  Yes  | Yes(2)|  Yes  | snake    |
| Soccer Kings                     |  Yes  |  Yes  |  Yes  |  Yes  | socrking |
| Solar Fire                       |  Yes  |  Yes  | Yes(2)|  Yes  | solar_l2 |
| Solar Ride                       |  Yes  |  Yes  | Yes(2)|  Yes  | solaride |
| Solar Wars                       |  Yes  |  Yes  |  Yes  |  Yes  | solarwar |
| Sopranos, The                    |  Yes  |  Yes  |Partial|  Yes  | sopranos |
| Sorcerer                         |  Yes  |  Yes  | Yes(2)|  Yes  | sorcr_l2 |
| South Park                       |  Yes  |  Yes  |  Yes  |  Yes  | sprk_103 |
| Space City                       |  Yes  |  Yes  |Partial|  Yes  | spacecty |
| Space Gambler                    |  Yes  |  Yes  |  Yes  |  Yes  | spcgambl |
| Space Invaders                   |  Yes  |  Yes  |  Yes  |  Yes  | spaceinv |
| Space Jam                        |  Yes  |  Yes  |  Yes  |  Yes  | spacejam |
| Space Riders                     |  Yes  |  Yes  |Partial|  Yes  | spcrider |
| Space Shuttle                    |  Yes  |  Yes  | Yes(2)|  Yes  | sshuttle |
| Space Shuttle                    |  Yes  |  Yes  |  Yes  |  Yes  | sshtlzac |
| Space Shuttle                    |  Yes  |  Yes  | Yes(2)|  Yes  | sshtl_l7 |
| Space Station                    |  Yes  |  Yes  | Yes(2)|  Yes  | spstn_l5 |
| Spain '82                        |  Yes  |  Yes  |Partial|  Yes  | spain82  |
| Speakeasy                        |  Yes  |  Yes  |  Yes  |  Yes  | speakesy |
| Special Force                    |  Yes  |  Yes  |  Yes  |  Yes  | specforc |
| Spectrum                         |  Yes  |  Yes  |  Yes  |  Yes  | spectrum |
| Speed Test                       |  Yes  |  Yes  | Yes(2)|  Yes  | stest    |
| Spiderman                        |  Yes  |  Yes  | Yes(2)|  Yes  | spidermn |
| Spirit                           |  Yes  |  Yes  | Yes(2)|  Yes  | spirit   |
| Split Second                     |  Yes  |  Yes  | Yes(2)|  Yes  | splitsec |
| Spooky                           |  Yes  |  Yes  |Partial|  Yes  | spooky   |
| Spring Break                     |  Yes  |  Yes  | Yes(2)|  Yes  | sprbreak |
| Spy Hunter                       |  Yes  |  Yes  |  Yes  |  Yes  | spyhuntr |
| Star Fire                        |  Yes  |  Yes  |Partial|  Yes  | starfire |
| Star God                         |  Yes  |  Yes  |Partial|  Yes  | stargod  |
| Star Light                       |  Yes  |  Yes  | Yes(2)|  Yes  | strlt_l1 |
| Star Race                        |  Yes  |  Yes  | Yes(2)|  Yes  | starrace |
| Star Shooter                     |  Yes  |  Yes  |  Yes  |  Yes  | starshot |
| Star Trax                        |  Yes  |  Yes  | Yes(2)|  Yes  | strax_p7 |
| Star Trek                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrek |
| Star Trek 25th Anniversary       |  Yes  |  Yes  |  Yes  |  Yes  | trek_201 |
| Star Trek: The Next Generation   |  Yes  |  Yes  | Yes(2)|  Yes  | sttng_l7 |
| Star Trip                        |  Yes  |  Yes  | Yes(2)|  Yes  | startrip |
| Star Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | sonstwar |
| Star Wars                        |  Yes  |  Yes  |  Yes  |  Yes  | stwr_103 |
| Star Wars Trilogy                |  Yes  |  Yes  |  Yes  |  Yes  | swtril43 |
| Star's Phoenix                   |  Yes  |  Yes  |  Yes  |  Yes  | strsphnx |
| Stargate                         |  Yes  |  Yes  | Yes(2)|  Yes  | stargate |
| Stargazer                        |  Yes  |  Yes  | Yes(2)|  Yes  | stargzr  |
| Stars                            |  Yes  |  Yes  |  Yes  |  Yes  | stars    |
| Stars & Strikes                  |  Yes  |  Yes  | Yes(2)|  Yes  | monrobwl |
| Starship Troopers                |  Yes  |  Yes  |  Yes  |  Yes  | startrp  |
| Stellar Wars                     |  Yes  |  Yes  | Yes(2)|  Yes  | stlwr_l2 |
| Stingray                         |  Yes  |  Yes  |  Yes  |  Yes  | stingray |
| Strange Science                  |  Yes  |  Yes  |  Yes  |  Yes  | strngsci |
| Street Fighter 2                 |  Yes  |  Yes  | Yes(2)|  Yes  | sfight2  |
| Strike                           |  Yes  |  Yes  |Partial|  Yes  | strike   |
| Strike Master                    |  Yes  |  Yes  | Yes(2)|  Yes  | strik_l4 |
| Strike Zone                      |  Yes  |  Yes  | Yes(2)|  Yes  | szone_l5 |
| Striker                          |  Yes  |  Yes  | Yes(2)|  Yes  | striker  |
| Striker Xtreme                   |  Yes  |  Yes  |  Yes  |  Yes  | strikext |
| Strikes and Spares               |  Yes  |  Yes  |  Yes  |  Yes  | stk_sprs |
| Strikes n' Spares                |  Yes  |  Yes  |  Yes  |  Yes  | snspares |
| Super Mario Brothers             |  Yes  |  Yes  | Yes(2)|  Yes  | smb      |
| Super Mario Brothers Mushroom Wor|  Yes  |  Yes  | Yes(2)|  Yes  | smbmush  |
| Super Nova                       |  Yes  |  Yes  | Yes(2)|  Yes  | suprnova |
| Super Orbit                      |  Yes  |  Yes  | Yes(2)|  Yes  | sorbit   |
| Super Picker                     |  Yes  |  Yes  |  Yes  |  Yes  | suprpick |
| Superman                         |  Yes  |  Yes  |  Yes  |  Yes  | superman |
| Supersonic                       |  Yes  |  Yes  | Yes(2)|  Yes  | sst      |
| Sure Shot                        |  Yes  |  Yes  |Part(2)|  Yes  | sureshot |
| Surf'n Safari                    |  Yes  |  Yes  | Yes(2)|  Yes  | surfnsaf |
| Swords of Fury                   |  Yes  |  Yes  | Yes(2)|  Yes  | swrds_l2 |
| System 1 Test prom               |  Yes  |  Yes  | Yes(2)|  Yes  | sys1test |
| System 80 Test                   |  Yes  |  Yes  | Yes(2)|  Yes  | s80tst   |
| TX-Sector                        |  Yes  |  Yes  | Yes(2)|  Yes  | txsector |
| Tag-Team Wrestling               |  Yes  |  Yes  | Yes(2)|  Yes  | tagteam  |
| Taito Test Fixture               |  Yes  |  Yes  |  Yes  |  Yes  | taitest  |
| Take Five                        |  Yes  |  Yes  |  Yes  |  Yes  | takefive |
| Tales From the Crypt             |  Yes  |  Yes  |  Yes  |  Yes  | tftc_303 |
| Tales Of The Arabian Nights      |  Yes  |  Yes  | Yes(2)|  Yes  | totan_14 |
| Taurus                           |  Yes  |  Yes  | Yes(2)|  Yes  | taurs_l1 |
| Taxi                             |  Yes  |  Yes  | Yes(2)|  Yes  | taxi_l4  |
| Teed Off                         |  Yes  |  Yes  | Yes(2)|  Yes  | teedoff  |
| Teenage Mutant Ninja Turtles     |  Yes  |  Yes  |  Yes  |  Yes  | tmnt_104 |
| Terminator 2: Judgement Day      |  Yes  |  Yes  | Yes(2)|  Yes  | t2_l8    |
| Terminator 3: Rise of the Machine|  Yes  |  Yes  |  Yes  |  Yes  | term3    |
| Theatre Of Magic                 |  Yes  |  Yes  | Yes(2)|  Yes  | tom_13   |
| Thunderball                      |  Yes  |  Yes  | Yes(2)|  Yes  | thund_p1 |
| Thunderbolt                      |  Yes  |  Yes  |  Yes  |  Yes  | thndbolt |
| Ticket Tac Toe                   |  Yes  |  Yes  | Yes(2)|  Yes  | ttt_10   |
| Time 2000                        |  Yes  |  Yes  |  Yes  |  Yes  | time2000 |
| Time Fantasy                     |  Yes  |  Yes  | Yes(2)|  Yes  | tmfnt_l5 |
| Time Line                        |  Yes  |  Yes  | Yes(2)|  Yes  | timeline |
| Time Machine                     |  Yes  |  Yes  |  Yes  |  Yes  | tmac_a24 |
| Time Machine                     |  Yes  |  Yes  |  Yes  |  Yes  | tmachzac |
| Time Warp                        |  Yes  |  Yes  | Yes(2)|  Yes  | tmwrp_l2 |
| Titan                            |  Yes  |  Yes  | Yes(2)|  Yes  | titan    |
| Titanic                          |  Yes  |  Yes  |  Yes  |  Yes  | titanic  |
| Title Fight                      |  Yes  |  Yes  | Yes(2)|  Yes  | tfight   |
| Tommy                            |  Yes  |  Yes  |  Yes  |  Yes  | tomy_400 |
| Top Dawg                         |  Yes  |  Yes  | Yes(2)|  Yes  | tdawg_l1 |
| Top Pin                          |  Yes  |  Yes  |Partial|  Yes  | toppin   |
| Topaz                            |  Yes  |  Yes  | Yes(2)|  Yes  | topaz_l1 |
| Torch                            |  Yes  |  Yes  | Yes(2)|  Yes  | torch    |
| Torpedo Alley                    |  Yes  |  Yes  |  Yes  |  Yes  | torp_e21 |
| Totem                            |  Yes  |  Yes  | Yes(2)|  Yes  | totem    |
| Touchdown                        |  Yes  |  Yes  | Yes(2)|  Yes  | touchdn  |
| Trailer                          |  Yes  |  Yes  |Partial|  Yes  | trailer  |
| Transporter the Rescue           |  Yes  |  Yes  | Yes(2)|  Yes  | tsptr_l3 |
| Tri Zone                         |  Yes  |  Yes  | Yes(2)|  Yes  | trizn_l1 |
| Trident                          |  Yes  |  Yes  | Yes(2)|  Yes  | trident  |
| Triple Play                      |  Yes  |  Yes  | Yes(2)|  Yes  | triplay  |
| Triple Strike                    |  Yes  |  Yes  |  Yes  |  Yes  | tstrk_l1 |
| Truck Stop                       |  Yes  |  Yes  | Yes(2)|  Yes  | trucksp3 |
| Twilight Zone                    |  Yes  |  Yes  | Yes(2)|  Yes  | tz_92    |
| Twister                          |  Yes  |  Yes  |  Yes  |  Yes  | twst_405 |
| U-boat 65                        |  Yes  |  Yes  |Partial|  Yes  | uboat65  |
| U.S.A. Football                  |  Yes  |  Yes  |  Yes  |  Yes  | usafootb |
| UFO-X                            |  Yes  |  Yes  |Partial|  Yes  | ufo_x    |
| Unknown Game                     |   No  |  Yes  | Yes(2)|  Yes  | st_game  |
| Unnamed game                     |   No  |  Yes  | Yes(2)|  Yes  | tt_game  |
| Varkon                           |  Yes  |  Yes  | Yes(2)|  Yes  | vrkon_l1 |
| Vector                           |  Yes  |  Yes  |  Yes  |  Yes  | vector   |
| Vegas                            |  Yes  |  Yes  | Yes(2)|  Yes  | vegas    |
| Vegas                            |  Yes  |  Yes  | Yes(2)|  Yes  | vegasgp  |
| Verne's World                    |  Yes  |  Yes  |  Yes  |  Yes  | vrnwrld  |
| Victory                          |  Yes  |  Yes  | Yes(2)|  Yes  | victory  |
| Viking                           |  Yes  |  Yes  |  Yes  |  Yes  | viking   |
| Viper                            |  Yes  |  Yes  | Yes(2)|  Yes  | viper    |
| Viper Night Drivin'              |  Yes  |  Yes  |  Yes  |  Yes  | viprsega |
| Volcano                          |  Yes  |  Yes  | Yes(2)|  Yes  | vlcno_1b |
| Volcano                          |  Yes  |  Yes  | Yes(2)|  Yes  | vlcno_ax |
| Voley Ball                       |  Yes  |  Yes  | Yes(2)|  Yes  | voleybal |
| Voltan Escapes Cosmic Doom       |  Yes  |  Yes  | Yes(2)|  Yes  | voltan   |
| Vortex                           |  Yes  |  Yes  | Yes(2)|  Yes  | vortex   |
| WPC 95 Test Fixture              |  Yes  |  Yes  | Yes(2)|  Yes  | tf95_12  |
| WPC Test Fixture: Alphanumeric   |  Yes  |  Yes  |   No  |  Yes  | tfa_13   |
| WPC Test Fixture: DMD            |  Yes  |  Yes  |   No  |  Yes  | tfdmd_l3 |
| WPC Test Fixture: Security       |  Yes  |  Yes  | Yes(2)|  Yes  | tfs_12   |
| WWF Royal Rumble                 |  Yes  |  Yes  |  Yes  |  Yes  | wwfr_106 |
| Wack-A-Doodle-Doo                |  Yes  |  Yes  |  Yes  |  Yes  | wackadoo |
| Warlok                           |  Yes  |  Yes  | Yes(2)|  Yes  | wrlok_l3 |
| Waterworld                       |  Yes  |  Yes  | Yes(2)|  Yes  | waterwld |
| Whirlwind                        |  Yes  |  Yes  | Yes(2)|  Yes  | whirl_l3 |
| White Water                      |  Yes  |  Yes  | Yes(2)|  Yes  | ww_l5    |
| Who Dunnit                       |  Yes  |  Yes  | Yes(2)|  Yes  | wd_12    |
| Wildfyre                         |  Yes  |  Yes  | Yes(2)|  Yes  | wildfyre |
| Winter Sports                    |  Yes  |  Yes  |  Yes  |  Yes  | wsports  |
| Wipeout                          |  Yes  |  Yes  | Yes(2)|  Yes  | wipeout  |
| Wolf Man                         |  Yes  |  Yes  |  Yes  |  Yes  | wolfman  |
| World Challenge Soccer           |  Yes  |  Yes  | Yes(2)|  Yes  | wcsoccer |
| World Cup 90                     |  Yes  |  Yes  |Partial|  Yes  | wcup90   |
| World Cup Soccer                 |  Yes  |  Yes  | Yes(2)|  Yes  | wldcp_l1 |
| World Cup Soccer                 |  Yes  |  Yes  | Yes(2)|  Yes  | wcs_l2   |
| World Defender                   |  Yes  |  Yes  |  Yes  |  Yes  | worlddef |
| X Force                          |  Yes  |  Yes  |   No  |  Yes  | xforce   |
| X's & O's                        |  Yes  |  Yes  |  Yes  |  Yes  | xsandos  |
| X-Files                          |  Yes  |  Yes  |  Yes  |  Yes  | xfiles   |
| Xenon                            |  Yes  |  Yes  |  Yes  |  Yes  | xenon    |
| Zankor                           |  Yes  |  Yes  |Partial|  Yes  | zankor   |
| Zarza                            |  Yes  |  Yes  | Yes(2)|  Yes  | zarza    |
| Zephy                            |  Yes  |  Yes  |   No  |  Yes  | zephy    |
+----------------------------------+-------+-------+-------+-------+----------+

(1) There are variants of the game (usually bootlegs) that work correctly
(2) Needs samples provided separately
